time,_id,close,high,low,open,volume
2022-12-25 00:00:00,1671926400,16830.0,16830.0,16826.0,16829.5,3408
2022-12-25 00:05:00,1671926700,16824.5,16830.0,16824.5,16828.5,1947
2022-12-25 00:10:00,1671927000,16826.5,16826.5,16826.5,16826.5,3310
2022-12-25 00:15:00,1671927300,16830.0,16830.0,16824.0,16826.5,2590
2022-12-25 00:20:00,1671927600,16828.5,16828.5,16826.5,16828.5,6473
2022-12-25 00:25:00,1671927900,16829.5,16832.0,16829.0,16829.5,5822
2022-12-25 00:30:00,1671928200,16829.0,16831.5,16827.0,16828.0,6305
2022-12-25 00:35:00,1671928500,16830.5,16831.5,16828.5,16829.5,3394
2022-12-25 00:40:00,1671928800,16837.5,16837.5,16832.0,16832.0,8278
2022-12-25 00:45:00,1671929100,16834.5,16837.5,16833.5,16837.5,2901
2022-12-25 00:50:00,1671929400,16834.5,16834.5,16833.0,16834.5,2286
2022-12-25 00:55:00,1671929700,16834.0,16836.0,16831.5,16834.5,4114
2022-12-25 01:00:00,1671930000,16836.5,16836.5,16834.0,16834.0,2098
2022-12-25 01:05:00,1671930300,16838.5,16840.0,16836.5,16836.5,1653
2022-12-25 01:10:00,1671930600,16837.0,16839.5,16837.0,16837.0,4005
2022-12-25 01:15:00,1671930900,16835.5,16839.0,16834.5,16839.0,4096
2022-12-25 01:20:00,1671931200,16839.5,16841.5,16837.0,16837.0,6321
2022-12-25 01:25:00,1671931500,16840.5,16841.0,16837.5,16839.5,6647
2022-12-25 01:30:00,1671931800,16840.0,16841.0,16838.5,16838.5,3509
2022-12-25 01:35:00,1671932100,16835.0,16838.5,16834.0,16838.5,10615
2022-12-25 01:40:00,1671932400,16833.5,16835.0,16832.5,16835.0,3914
2022-12-25 01:45:00,1671932700,16835.0,16836.0,16832.0,16834.0,4602
2022-12-25 01:50:00,1671933000,16839.5,16841.0,16834.5,16836.0,9556
2022-12-25 01:55:00,1671933300,16838.5,16839.5,16836.5,16839.5,5322
2022-12-25 02:00:00,1671933600,16837.5,16838.5,16836.0,16838.5,2777
2022-12-25 02:05:00,1671933900,16837.5,16838.0,16835.0,16837.5,1553
2022-12-25 02:10:00,1671934200,16836.0,16837.5,16834.0,16837.5,5860
2022-12-25 02:15:00,1671934500,16830.5,16836.0,16830.5,16836.0,1626
2022-12-25 02:20:00,1671934800,16827.5,16833.0,16827.5,16830.5,5959
2022-12-25 02:25:00,1671935100,16823.5,16829.0,16822.0,16829.0,9063
2022-12-25 02:30:00,1671935400,16824.5,16824.5,16823.5,16823.5,5020
2022-12-25 02:35:00,1671935700,16821.5,16824.5,16821.5,16824.5,4843
2022-12-25 02:40:00,1671936000,16820.5,16821.5,16816.5,16821.5,5936
2022-12-25 02:45:00,1671936300,16824.0,16824.0,16818.0,16819.5,7569
2022-12-25 02:50:00,1671936600,16816.5,16824.0,16816.5,16822.5,9423
2022-12-25 02:55:00,1671936900,16817.5,16819.0,16815.0,16818.0,5227
2022-12-25 03:00:00,1671937200,16818.5,16818.5,16816.0,16816.0,2486
2022-12-25 03:05:00,1671937500,16822.5,16824.0,16819.5,16819.5,7072
2022-12-25 03:10:00,1671937800,16821.5,16822.0,16820.5,16822.0,1146
2022-12-25 03:15:00,1671938100,16826.5,16827.5,16821.5,16821.5,7741
2022-12-25 03:20:00,1671938400,16824.0,16825.5,16822.5,16825.5,5489
2022-12-25 03:25:00,1671938700,16829.0,16831.0,16825.5,16825.5,7932
2022-12-25 03:30:00,1671939000,16829.0,16829.5,16827.5,16827.5,2986
2022-12-25 03:35:00,1671939300,16828.5,16829.0,16827.5,16829.0,1466
2022-12-25 03:40:00,1671939600,16827.5,16828.5,16827.0,16828.5,2822
2022-12-25 03:45:00,1671939900,16823.0,16826.0,16823.0,16826.0,6255
2022-12-25 03:50:00,1671940200,16824.0,16824.5,16821.5,16824.5,1910
