time,_id,close,high,low,open,volume,strike_price
2022-12-25 00:00:00,1671926400,67.0,67.0,67.0,67.0,0,16800
2022-12-25 00:05:00,1671926700,67.0,67.0,67.0,67.0,0,16800
2022-12-25 00:10:00,1671927000,67.0,67.0,67.0,67.0,0,16800
2022-12-25 00:15:00,1671927300,67.0,67.0,67.0,67.0,0,16800
2022-12-25 00:20:00,1671927600,67.0,67.0,67.0,67.0,0,16800
2022-12-25 00:25:00,1671927900,67.0,67.0,67.0,67.0,0,16800
2022-12-25 00:30:00,1671928200,67.0,67.0,67.0,67.0,0,16800
2022-12-25 00:35:00,1671928500,67.0,67.0,67.0,67.0,0,16800
2022-12-25 00:40:00,1671928800,67.0,67.0,67.0,67.0,0,16800
2022-12-25 00:45:00,1671929100,67.0,67.0,67.0,67.0,0,16800
2022-12-25 00:50:00,1671929400,67.0,67.0,67.0,67.0,0,16800
2022-12-25 00:55:00,1671929700,67.0,67.0,67.0,67.0,0,16800
2022-12-25 01:00:00,1671930000,67.0,67.0,67.0,67.0,0,16800
2022-12-25 01:05:00,1671930300,67.0,67.0,67.0,67.0,0,16800
2022-12-25 01:10:00,1671930600,67.0,67.0,67.0,67.0,0,16800
2022-12-25 01:15:00,1671930900,67.0,67.0,67.0,67.0,0,16800
2022-12-25 01:20:00,1671931200,67.0,67.0,67.0,67.0,0,16800
2022-12-25 01:25:00,1671931500,67.0,70.0,67.0,70.0,31,16800
2022-12-25 01:30:00,1671931800,58.0,58.0,58.0,58.0,0,16800
2022-12-25 01:35:00,1671932100,58.0,58.0,58.0,58.0,0,16800
2022-12-25 01:40:00,1671932400,58.0,58.0,58.0,58.0,0,16800
2022-12-25 01:45:00,1671932700,58.0,58.0,58.0,58.0,0,16800
2022-12-25 01:50:00,1671933000,58.0,58.0,58.0,58.0,0,16800
2022-12-25 01:55:00,1671933300,58.0,58.0,58.0,58.0,0,16800
2022-12-25 02:00:00,1671933600,58.0,58.0,58.0,58.0,0,16800
2022-12-25 02:05:00,1671933900,58.0,58.0,58.0,58.0,0,16800
2022-12-25 02:10:00,1671934200,58.0,58.0,58.0,58.0,0,16800
2022-12-25 02:15:00,1671934500,58.0,58.0,58.0,58.0,0,16800
2022-12-25 02:20:00,1671934800,58.0,60.0,58.0,60.0,633,16800
2022-12-25 02:25:00,1671935100,66.0,66.0,66.0,66.0,0,16800
2022-12-25 02:30:00,1671935400,66.0,66.0,66.0,66.0,0,16800
2022-12-25 02:35:00,1671935700,66.0,66.0,66.0,66.0,0,16800
2022-12-25 02:40:00,1671936000,66.0,66.0,66.0,66.0,6,16800
2022-12-25 02:45:00,1671936300,60.0,60.0,60.0,60.0,0,16800
2022-12-25 02:50:00,1671936600,60.0,60.0,60.0,60.0,35,16800
2022-12-25 02:55:00,1671936900,60.0,60.0,60.0,60.0,200,16800
2022-12-25 03:00:00,1671937200,60.0,60.0,60.0,60.0,18,16800
2022-12-25 03:05:00,1671937500,60.0,60.0,60.0,60.0,0,16800
2022-12-25 03:10:00,1671937800,60.0,60.0,60.0,60.0,0,16800
2022-12-25 03:15:00,1671938100,60.0,60.0,60.0,60.0,0,16800
2022-12-25 03:20:00,1671938400,60.0,60.0,60.0,60.0,83,16800
2022-12-25 03:25:00,1671938700,60.0,60.0,60.0,60.0,70,16800
2022-12-25 03:30:00,1671939000,60.0,60.0,60.0,60.0,0,16800
2022-12-25 03:35:00,1671939300,60.0,60.0,60.0,60.0,0,16800
2022-12-25 03:40:00,1671939600,60.0,60.0,60.0,60.0,0,16800
2022-12-25 03:45:00,1671939900,60.0,60.0,60.0,60.0,50,16800
2022-12-25 03:50:00,1671940200,60.0,60.0,60.0,60.0,0,16800
2022-12-25 03:55:00,1671940500,60.0,60.0,60.0,60.0,0,16800
2022-12-25 04:00:00,1671940800,60.0,60.0,60.0,60.0,0,16800
2022-12-25 04:05:00,1671941100,60.0,60.0,60.0,60.0,0,16800
2022-12-25 04:10:00,1671941400,60.0,60.0,60.0,60.0,1,16800
2022-12-25 04:15:00,1671941700,60.0,60.0,60.0,60.0,0,16800
2022-12-25 04:20:00,1671942000,60.0,60.0,60.0,60.0,100,16800
2022-12-25 04:25:00,1671942300,60.0,60.0,60.0,60.0,0,16800
2022-12-25 04:30:00,1671942600,60.0,60.0,60.0,60.0,100,16800
2022-12-25 04:35:00,1671942900,58.0,58.0,58.0,58.0,0,16800
2022-12-25 04:40:00,1671943200,58.0,58.0,58.0,58.0,0,16800
